POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,ShikharDhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
2,SuryakumarYadav,16,15,3,480,79*,40.00,331,145.01,0,4,61,11
3,KLRahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
4,DavidWarner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
5,DevduttPadikkal,15,15,0,473,74,31.53,379,124.80,0,5,51,8
6,Quintonde Kock,16,16,2,503,78*,35.92,358,140.50,0,4,46,22
7,ShubmanGill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
8,MayankAgarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
9,NitishRana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
10,Fafdu Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
11,ShreyasIyer,17,17,2,519,88*,34.60,421,123.27,0,3,40,16
12,IshanKishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
13,BenStokes,8,8,1,285,107*,40.71,200,142.50,1,1,36,7
14,ManishPandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
15,ABde Villiers,15,14,4,454,73*,45.40,286,158.74,0,5,33,23
16,ShaneWatson,11,11,1,299,83*,29.90,247,121.05,0,2,33,13
17,EoinMorgan,14,14,4,418,68*,41.80,302,138.41,0,1,32,24
18,SteveSmith,14,14,2,311,69,25.91,237,131.22,0,3,32,9
19,MarcusStoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
20,JonnyBairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13
21,RishabhPant,14,14,3,343,56,31.18,301,113.95,0,1,31,9
22,AmbatiRayudu,12,11,2,359,71,39.88,282,127.30,0,1,30,12
23,AaronFinch,12,12,0,268,52,22.33,241,111.20,0,1,28,8
24,RohitSharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19
25,JosButtler,13,12,2,328,70*,32.80,227,144.49,0,2,27,16
26,PrithviShaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8
27,KaneWilliamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10
28,WriddhimanSaha,4,4,1,214,87,71.33,153,139.86,0,2,24,5
29,ViratKohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
30,NicholasPooran,14,14,4,353,77,35.30,208,169.71,0,2,23,25
31,RavindraJadeja,14,11,6,232,50,46.40,135,171.85,0,1,22,11
32,SanjuSamson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
33,RahulTripathi,11,11,1,230,81,23.00,181,127.07,0,1,21,10
34,DineshKarthik,14,14,2,169,58,14.08,134,126.11,0,1,20,4
35,RobinUthappa,12,12,0,196,41,16.33,164,119.51,0,0,19,7
36,RuturajGaikwad,6,6,2,204,72,51.00,169,120.71,0,3,16,6
37,MSDhoni,14,12,4,200,47*,25.00,172,116.27,0,0,16,7
38,ChrisGayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23
39,KieronPollard,16,12,7,268,60*,53.60,140,191.42,0,1,15,22
40,HardikPandya,14,13,5,281,60*,35.12,157,178.98,0,1,14,25
41,RahulTewatia,14,11,5,255,53,42.50,183,139.34,0,1,13,17
42,SamCurran,14,11,3,186,52,23.25,141,131.91,0,1,12,12
43,AjinkyaRahane,9,8,0,113,60,14.12,107,105.60,0,1,12,2
44,ShimronHetmyer,12,11,3,185,45,23.12,125,148.00,0,0,11,12
45,MandeepSingh,7,7,1,130,66*,21.66,109,119.26,0,1,10,4
46,SunilNarine,10,9,0,121,64,13.44,85,142.35,0,1,10,8
47,WashingtonSundar,15,9,3,111,30,18.50,95,116.84,0,0,10,2
48,VijayShankar,7,5,1,97,52*,24.25,96,101.04,0,1,10,1
49,PatCummins,14,11,4,146,53*,20.85,114,128.07,0,1,9,8
50,PriyamGarg,14,10,1,133,51*,14.77,111,119.81,0,1,9,4
51,AndreRussell,10,9,0,117,25,13.00,81,144.44,0,0,9,9
52,KrunalPandya,16,12,6,109,34,18.16,92,118.47,0,0,9,5
53,GlennMaxwell,13,11,4,108,32,15.42,106,101.88,0,0,9,0
54,JoshPhilippe,5,5,1,78,33,19.50,77,101.29,0,0,9,1
55,AbdulSamad,12,8,3,111,33,22.20,65,170.76,0,0,8,6
56,SaurabhTiwary,7,5,0,103,42,20.60,80,128.75,0,0,8,3
57,GurkeeratMann Singh,8,5,5,71,21*,-,80,88.75,0,0,8,0
58,KedarJadhav,8,5,2,62,26,20.66,66,93.93,0,0,7,0
59,AxarPatel,15,9,1,117,42,14.62,85,137.64,0,0,6,8
60,RiyanParag,12,8,1,86,42*,12.28,77,111.68,0,0,6,3
61,AbhishekSharma,8,7,2,71,31,14.20,56,126.78,0,0,6,3
62,ShivamDube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
63,JofraArcher,14,10,4,113,27*,18.83,63,179.36,0,0,5,10
64,DeepakHooda,7,5,4,101,62*,101.00,71,142.25,0,1,5,5
65,TomCurran,5,4,3,83,54*,83.00,62,133.87,0,1,5,3
66,JasonHolder,7,4,2,66,26*,33.00,53,124.52,0,0,5,3
67,SarfarazKhan,5,3,1,33,14*,16.50,29,113.79,0,0,5,0
68,KagisoRabada,17,8,4,56,15*,14.00,49,114.28,0,0,4,2
69,LockieFerguson,5,2,2,43,24*,-,29,148.27,0,0,4,1
70,NarayanJagadeesan,5,2,0,33,33,16.50,29,113.79,0,0,4,0
71,MuraliVijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0
72,NathanCoulter-Nile,7,2,1,25,24*,25.00,15,166.66,0,0,4,0
73,KrishnappaGowtham,2,2,1,42,22*,42.00,27,155.55,0,0,3,2
74,ShreyasGopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0
75,RavichandranAshwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1
76,RashidKhan,16,7,3,35,14,8.75,30,116.66,0,0,3,2
77,NavdeepSaini,13,3,2,27,12*,27.00,27,100.00,0,0,3,0
78,MahipalLomror,3,3,0,59,47,19.66,54,109.25,0,0,2,3
79,YashasviJaiswal,3,3,0,40,34,13.33,44,90.90,0,0,2,2
80,ChrisMorris,9,5,1,34,25*,8.50,21,161.90,0,0,2,3
81,ChrisJordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0
82,HarshalPatel,5,2,0,21,16,10.50,24,87.50,0,0,2,0
83,TusharDeshpande,5,2,1,21,20*,21.00,12,175.00,0,0,2,1
84,MohammedSiraj,9,3,2,17,10*,17.00,14,121.42,0,0,2,0
85,KarunNair,4,3,1,16,15*,8.00,14,114.28,0,0,2,0
86,SimranSingh,2,2,0,15,11,7.50,15,100.00,0,0,2,0
87,JamesPattinson,10,2,1,15,11,15.00,13,115.38,0,0,2,0
88,ImranTahir,3,1,1,13,13*,-,10,130.00,0,0,2,0
89,MohammadNabi,1,1,1,11,11*,-,8,137.50,0,0,2,0
90,KamleshNagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0
91,TomBanton,2,2,0,18,10,9.00,20,90.00,0,0,1,1
92,IsuruUdana,10,4,1,15,10*,5.00,11,136.36,0,0,1,1
93,KuldeepYadav,5,2,1,13,12,13.00,21,61.90,0,0,1,0
94,MoeenAli,3,3,0,12,11,4.00,16,75.00,0,0,1,0
95,SandeepSharma,13,5,3,12,9,6.00,15,80.00,0,0,1,0
96,RinkuSingh,1,1,0,11,11,11.00,11,100.00,0,0,1,0
97,ShivamMavi,8,3,1,10,9,5.00,14,71.42,0,0,1,0
98,RaviBishnoi,14,3,2,7,6*,7.00,12,58.33,0,0,1,0
99,ShahbazNadeem,7,2,1,7,5,7.00,8,87.50,0,0,1,0
