POS,PLAYER,Speed (km/h)
1,AnrichNortje,156.22
2,AnrichNortje,155.21
3,AnrichNortje,154.74
4,AnrichNortje,154.21
5,LockieFerguson,153.84
6,AnrichNortje,153.72
7,JofraArcher,153.62
8,JofraArcher,153.36
9,JofraArcher,153.23
10,JofraArcher,153.13
11,LockieFerguson,152.58
12,JofraArcher,152.55
13,AnrichNortje,152.54
14,AnrichNortje,152.41
15,LockieFerguson,152.41
16,AnrichNortje,152.39
17,LockieFerguson,152.38
18,LockieFerguson,152.36
19,AnrichNortje,152.32
20,AnrichNortje,152.32
21,LockieFerguson,152.31
22,JofraArcher,152.26
23,AnrichNortje,152.16
24,AnrichNortje,152.14
25,JofraArcher,152.13
26,JofraArcher,151.93
27,AnrichNortje,151.89
28,JofraArcher,151.85
29,JofraArcher,151.75
30,JofraArcher,151.72
31,PatCummins,151.70
32,AnrichNortje,151.70
33,LockieFerguson,151.56
34,LockieFerguson,151.52
35,AnrichNortje,151.44
36,LockieFerguson,151.43
37,LockieFerguson,151.41
38,LockieFerguson,151.28
39,JofraArcher,151.12
40,AnrichNortje,151.12
41,LockieFerguson,151.11
42,LockieFerguson,151.04
43,LockieFerguson,151.01
44,KagisoRabada,150.99
45,JofraArcher,150.97
46,JofraArcher,150.85
47,JofraArcher,150.82
48,AnrichNortje,150.79
49,JofraArcher,150.75
50,AnrichNortje,150.74
51,AnrichNortje,150.70
52,LockieFerguson,150.69
53,AnrichNortje,150.63
54,AnrichNortje,150.56
55,JamesPattinson,150.55
56,JofraArcher,150.48
57,AnrichNortje,150.46
58,LockieFerguson,150.30
59,LockieFerguson,150.30
60,JofraArcher,150.27
61,JofraArcher,150.26
62,AnrichNortje,150.17
63,LockieFerguson,150.15
64,JofraArcher,150.15
65,JofraArcher,150.14
66,JofraArcher,150.10
67,AnrichNortje,150.07
68,AnrichNortje,150.06
69,AnrichNortje,150.01
70,AnrichNortje,150.00
71,LockieFerguson,150.00
72,LockieFerguson,149.91
73,JofraArcher,149.91
74,AnrichNortje,149.89
75,JofraArcher,149.82
76,JofraArcher,149.82
77,AnrichNortje,149.81
78,JofraArcher,149.78
79,AnrichNortje,149.75
80,AnrichNortje,149.70
81,JofraArcher,149.67
82,LockieFerguson,149.66
83,LockieFerguson,149.65
84,AnrichNortje,149.64
85,JofraArcher,149.63
86,AnrichNortje,149.60
87,AnrichNortje,149.59
88,JofraArcher,149.58
89,AnrichNortje,149.58
90,JofraArcher,149.52
91,JofraArcher,149.48
92,KagisoRabada,149.47
93,KagisoRabada,149.46
94,AnrichNortje,149.42
95,NavdeepSaini,149.38
96,NavdeepSaini,149.34
97,LockieFerguson,149.33
98,JofraArcher,149.29
99,AnrichNortje,149.29
100,JofraArcher,149.26
